file_size iteration peer duration
50 0 0 17886135
50 0 1 17894801
50 0 2 17892902
50 0 3 17905351
50 0 4 17926651
50 0 5 17934681
50 0 6 18915248
50 1 0 17893770
50 1 1 18897859
50 1 2 18885261
50 1 3 18896199
50 1 4 18886542
50 1 5 18904978
50 1 6 18914134
50 2 0 17885837
50 2 1 17885925
50 2 2 17888543
50 2 3 17903423
50 2 4 17907463
50 2 5 18107664
50 2 6 18904187
50 3 0 16878109
50 3 1 16881663
50 3 2 16888736
50 3 3 16909818
50 3 4 16915209
50 3 5 17103074
50 3 6 17887767
50 4 0 17879076
50 4 1 17881747
50 4 2 17883113
50 4 3 17886241
50 4 4 17890948
50 4 5 17903783
50 4 6 17923986
