file_size iteration peer duration
50 0 0 5312893
50 0 1 5317091
50 0 2 5318488
50 0 3 5318558
50 0 4 5323011
50 0 5 5321697
50 0 6 5322594
50 0 7 5326444
50 0 8 5324107
50 0 9 5327481
50 0 10 5327028
50 0 11 5326980
50 0 12 5329482
50 0 13 5328070
50 0 14 5333903
50 1 0 6261616
50 1 1 6288410
50 1 2 6282708
50 1 3 6319667
50 1 4 6295871
50 1 5 6236678
50 1 6 6316642
50 1 7 6321969
50 1 8 6320475
50 1 9 6326082
50 1 10 6340322
50 1 11 7311721
50 1 12 7326449
50 1 13 7341893
50 1 14 7338582
50 2 0 5275455
50 2 1 5292932
50 2 2 5293477
50 2 3 5299634
50 2 4 5300820
50 2 5 5301934
50 2 6 5303060
50 2 7 5307542
50 2 8 5306626
50 2 9 5311340
50 2 10 5313278
50 2 11 5313093
50 2 12 5313263
50 2 13 5316719
50 2 14 5325571
50 3 0 6321828
50 3 1 6330868
50 3 2 6333048
50 3 3 6340821
50 3 4 6343020
50 3 5 6344404
50 3 6 6349670
50 3 7 6350437
50 3 8 6351886
50 3 9 6356037
50 3 10 6356003
50 3 11 6361208
50 3 12 6387863
50 3 13 7353408
50 3 14 7373049
50 4 0 4282970
50 4 1 4283360
50 4 2 4288545
50 4 3 4290191
50 4 4 4296462
50 4 5 4296163
50 4 6 4305074
50 4 7 4318781
50 4 8 5301174
50 4 9 5301723
50 4 10 5307663
50 4 11 5310632
50 4 12 5308968
50 4 13 5313651
50 4 14 5316861
