file_size iteration peer duration
50 0 0 5232291
50 0 1 5267943
50 0 2 5268657
50 0 3 5272528
50 0 4 5279612
50 0 5 5288995
50 0 6 5293255
50 0 7 5294547
50 0 8 5294584
50 0 9 5295879
50 0 10 5297772
50 0 11 5299440
50 0 12 5302385
50 0 13 5303457
50 0 14 5310455
50 1 0 8340597
50 1 1 8267464
50 1 2 8247682
50 1 3 8270332
50 1 4 8267258
50 1 5 8292394
50 1 6 8281118
50 1 7 8282174
50 1 8 8219389
50 1 9 8301603
50 1 10 8288404
50 1 11 8308074
50 1 12 8309426
50 1 13 8304888
50 1 14 8309290
50 2 0 2236269
50 2 1 2239163
50 2 2 2246364
50 2 3 2248440
50 2 4 2255029
50 2 5 2259292
50 2 6 2260026
50 2 7 2261497
50 2 8 2262052
50 2 9 2264754
50 2 10 2269228
50 2 11 2271901
50 2 12 2274551
50 2 13 2287479
50 2 14 3271960
50 3 0 4282617
50 3 1 4285856
50 3 2 4289375
50 3 3 4288683
50 3 4 4305454
50 3 5 4471454
50 3 6 5294375
50 3 7 5294783
50 3 8 5303606
50 3 9 5304849
50 3 10 5305595
50 3 11 5306577
50 3 12 5306467
50 3 13 5317397
50 3 14 5327738
50 4 0 4260340
50 4 1 4280447
50 4 2 4290692
50 4 3 4290375
50 4 4 4292709
50 4 5 4292212
50 4 6 4296872
50 4 7 4294801
50 4 8 4302196
50 4 9 4298016
50 4 10 4302705
50 4 11 4302302
50 4 12 4308130
50 4 13 4311997
50 4 14 4505934
