file_size iteration peer duration
50 0 0 5256432
50 0 1 5304562
50 0 2 5305366
50 0 3 4289107
50 0 4 5310565
50 0 5 5311987
50 0 6 5313007
50 0 7 5313095
50 0 8 5322754
50 0 9 5322877
50 0 10 5323881
50 0 11 5328120
50 0 12 4314557
50 0 13 4326883
50 0 14 5339585
50 1 0 4243787
50 1 1 4260138
50 1 2 4263954
50 1 3 4263845
50 1 4 4266855
50 1 5 4270963
50 1 6 4303164
50 1 7 4306371
50 1 8 4302433
50 1 9 4311290
50 1 10 4342418
50 1 11 4274262
50 1 12 4320955
50 1 13 4319254
50 1 14 4336823
50 2 0 4272593
50 2 1 4277244
50 2 2 4279622
50 2 3 4281303
50 2 4 4285770
50 2 5 4283939
50 2 6 4286039
50 2 7 4285513
50 2 8 4289686
50 2 9 4292243
50 2 10 5292662
50 2 11 5292901
50 2 12 5297917
50 2 13 5299838
50 2 14 5307520
50 3 0 4279722
50 3 1 4281534
50 3 2 4287498
50 3 3 4289382
50 3 4 4298163
50 3 5 4298128
50 3 6 4297839
50 3 7 4302571
50 3 8 4305708
50 3 9 4308111
50 3 10 4314629
50 3 11 4320694
50 3 12 5309437
50 3 13 5312194
50 3 14 5317637
50 4 0 4270024
50 4 1 4278008
50 4 2 4284451
50 4 3 4287999
50 4 4 4289560
50 4 5 4290558
50 4 6 4295232
50 4 7 4300264
50 4 8 4303457
50 4 9 4304461
50 4 10 4309221
50 4 11 4308823
50 4 12 4311076
50 4 13 4313860
50 4 14 4316357
