file_size iteration peer duration
50 0 0 16885859
50 0 1 16906816
50 0 2 16909429
50 0 3 16922963
50 0 4 17900733
50 0 5 17909266
50 0 6 17914762
50 1 0 17881881
50 1 1 17903382
50 1 2 17906999
50 1 3 17915948
50 1 4 17899592
50 1 5 18902440
50 1 6 18841177
50 2 0 17894139
50 2 1 17909662
50 2 2 17928085
50 2 3 17928612
50 2 4 17928339
50 2 5 17931367
50 2 6 17950984
50 3 0 16894945
50 3 1 16899152
50 3 2 16906474
50 3 3 16910278
50 3 4 16912846
50 3 5 17895867
50 3 6 17912574
50 4 0 17876520
50 4 1 17879418
50 4 2 17889825
50 4 3 17902464
50 4 4 17901624
50 4 5 18892066
50 4 6 18893687
