file_size iteration peer duration
1 12 1 1029330
1 12 2 1032912
1 12 3 1034652
1 12 4 1035179
1 12 5 1035782
1 12 6 1036218
1 12 7 1037993
1 12 8 1038901
50 12 0 14072003
50 12 1 14072882
50 12 2 14079605
50 12 3 14076267
50 12 4 14097439
50 12 5 14290042
50 12 6 15085279
50 12 7 15095043
50 12 8 15105668
100 12 0 28117037
100 12 1 28133753
100 12 2 28141562
100 12 3 28145808
100 12 4 28146229
100 12 5 28156517
100 12 6 28156748
100 12 7 28163382
100 12 8 28190342
1 13 0 38450
1 13 1 1029003
1 13 2 1033596
1 13 3 1034104
1 13 4 1033834
1 13 5 1035997
1 13 6 1036418
1 13 7 1039733
1 13 8 1043141
50 13 0 14094818
50 13 1 15087638
50 13 2 15096967
50 13 3 15099893
50 13 4 15101022
50 13 5 15102051
50 13 6 15111034
50 13 7 15114795
50 13 8 15120790
100 13 0 28151602
100 13 1 28161327
100 13 2 29145958
100 13 3 29146540
100 13 4 29151066
100 13 5 29156824
100 13 6 29163139
100 13 7 29171680
100 13 8 29180442
1 14 0 39085
1 14 1 1032266
1 14 2 1040122
1 14 3 1040435
1 14 4 1041157
1 14 5 1041339
1 14 6 1041559
1 14 7 1048384
1 14 8 1050630
50 14 0 14080658
50 14 1 14085558
50 14 2 14099609
50 14 3 14102841
50 14 4 14107447
50 14 5 14108231
50 14 6 14104643
50 14 7 14108700
50 14 8 14123990
100 14 0 28118838
100 14 1 28145012
100 14 2 28146945
100 14 3 28151541
100 14 4 28166276
100 14 5 28170622
100 14 6 28171385
100 14 7 28172658
100 14 8 28358569
1 15 0 36711
1 15 1 36658
1 15 2 37417
1 15 3 38139
1 15 4 39580
1 15 5 42060
1 15 6 44970
1 15 7 46027
1 15 8 46728
50 15 0 14055355
50 15 1 14066125
50 15 2 14075558
50 15 3 14078603
50 15 4 14095637
50 15 5 14098004
50 15 6 14105941
50 15 7 14106460
50 15 8 14115213
100 15 0 28135765
100 15 1 28136367
100 15 2 28145697
100 15 3 28144871
100 15 4 28156122
100 15 5 28160153
100 15 6 28167066
100 15 7 28174343
100 15 8 29158914
1 16 0 41045
1 16 1 1035781
1 16 2 1037132
1 16 3 1037563
1 16 4 1039715
1 16 5 1039881
1 16 6 1041878
1 16 7 1044581
1 16 8 1044539
50 16 0 14044470
50 16 1 14064717
50 16 2 14072105
50 16 3 14073718
50 16 4 14077270
50 16 5 14077843
50 16 6 14080053
50 16 7 14082734
50 16 8 15072546
100 16 0 28123367
100 16 1 28127674
100 16 2 28132242
100 16 3 28138234
100 16 4 28139133
100 16 5 28145439
100 16 6 28150100
100 16 7 28153207
100 16 8 28175881
1 17 0 38295
1 17 1 1032105
1 17 2 1036232
1 17 3 1037234
1 17 4 1042870
1 17 5 1043287
1 17 6 1042929
1 17 7 1043486
1 17 8 1051220
50 17 0 14069949
50 17 1 14086641
50 17 2 14096500
50 17 3 15080338
50 17 4 15080866
50 17 5 15085117
50 17 6 15086800
50 17 7 15088670
50 17 8 15096622
100 17 0 28125912
