file_size iteration peer duration
50 0 0 6313463
50 0 1 6315787
50 0 2 6317391
50 0 3 6316674
50 0 4 6317982
50 0 5 6317836
50 0 6 6324603
50 0 7 6307361
50 0 8 6324603
50 0 9 6327243
50 0 10 6332922
50 0 11 6337902
50 0 12 6342531
50 0 13 6343286
50 0 14 7332674
50 1 0 7269093
50 1 1 7260645
50 1 2 7265684
50 1 3 7250006
50 1 4 7268865
50 1 5 7263226
50 1 6 7288433
50 1 7 7283292
50 1 8 7270382
50 1 9 7289029
50 1 10 7285665
50 1 11 8288597
50 1 12 8276019
50 1 13 8280102
50 1 14 8303759
50 2 0 6319785
50 2 1 6322423
50 2 2 6324333
50 2 3 6324716
50 2 4 6324777
50 2 5 6346989
50 2 6 6610080
50 2 7 7334007
50 2 8 7343965
50 2 9 7337427
50 2 10 7352954
50 2 11 7350142
50 2 12 7347631
50 2 13 7348137
50 2 14 7338551
50 3 0 5265988
50 3 1 5284598
50 3 2 5289584
50 3 3 5291375
50 3 4 5295873
50 3 5 5301128
50 3 6 5301163
50 3 7 5302140
50 3 8 5301964
50 3 9 5300969
50 3 10 5310954
50 3 11 6305042
50 3 12 6315337
50 3 13 6321492
50 3 14 6327143
50 4 0 4271412
50 4 1 4271904
50 4 2 4272772
50 4 3 4272641
50 4 4 4275672
50 4 5 4279671
50 4 6 4283349
50 4 7 4285709
50 4 8 4288148
50 4 9 4289516
50 4 10 4306864
50 4 11 5288496
50 4 12 5294016
50 4 13 5295792
50 4 14 5315525
