file_size iteration peer duration
50 0 0 17887647
50 0 1 17890116
50 0 2 17888710
50 0 3 17899142
50 0 4 17899935
50 0 5 17910175
50 0 6 18912700
50 1 0 17877484
50 1 1 18861301
50 1 2 18865006
50 1 3 18879548
50 1 4 18878770
50 1 5 18886390
50 1 6 18894622
50 2 0 17875045
50 2 1 17882010
50 2 2 17893429
50 2 3 17914928
50 2 4 18909326
50 2 5 18912563
50 2 6 18916156
50 3 0 18097390
50 3 1 18880668
50 3 2 18884987
50 3 3 18889007
50 3 4 18889778
50 3 5 18899281
50 3 6 18904358
50 4 0 16889431
50 4 1 17879480
50 4 2 17886927
50 4 3 17888855
50 4 4 17901077
50 4 5 17904575
50 4 6 17905249
