file_size iteration peer duration
50 0 0 4243062
50 0 1 4247342
50 0 2 4257727
50 0 3 4264419
50 0 4 4267131
50 0 5 4269597
50 0 6 4269917
50 0 7 4270324
50 0 8 4275701
50 0 9 4278610
50 0 10 4280762
50 0 11 4281907
50 0 12 4285755
50 0 13 4287023
50 0 14 4308502
50 1 0 6281675
50 1 1 7212819
50 1 2 7203459
50 1 3 7219519
50 1 4 7210435
50 1 5 7216743
50 1 6 7225372
50 1 7 7213359
50 1 8 7208867
50 1 9 7215378
50 1 10 7228512
50 1 11 7210869
50 1 12 7231402
50 1 13 7263055
50 1 14 7247960
50 2 0 6312751
50 2 1 6312967
50 2 2 6314261
50 2 3 6330461
50 2 4 6335658
50 2 5 6336178
50 2 6 6337288
50 2 7 6345180
50 2 8 6348829
50 2 9 6350786
50 2 10 6352571
50 2 11 6352956
50 2 12 6355850
50 2 13 6360213
50 2 14 6366912
50 3 0 7285318
50 3 1 7309575
50 3 2 7316907
50 3 3 7321415
50 3 4 7320831
50 3 5 7329308
50 3 6 7328893
50 3 7 7328850
50 3 8 7326705
50 3 9 7330421
50 3 10 7334332
50 3 11 7335200
50 3 12 7332550
50 3 13 7338139
50 3 14 7352345
50 4 0 4290079
50 4 1 4288571
50 4 2 4291139
50 4 3 4294013
50 4 4 4302317
50 4 5 4302720
50 4 6 4305377
50 4 7 4304399
50 4 8 4304306
50 4 9 4312123
50 4 10 4316198
50 4 11 4314849
50 4 12 4312822
50 4 13 4318459
50 4 14 4337010
