file_size iteration peer duration
50 0 0 17886915
50 0 1 17888936
50 0 2 17890824
50 0 3 17896887
50 0 4 17906821
50 0 5 17919386
50 0 6 18884643
50 1 0 17889480
50 1 1 17896957
50 1 2 17911521
50 1 3 17908329
50 1 4 17920855
50 1 5 18112020
50 1 6 18857872
50 2 0 17861551
50 2 1 18888735
50 2 2 18894355
50 2 3 18898706
50 2 4 18905795
50 2 5 18909664
50 2 6 18920599
50 3 0 16903180
50 3 1 17890846
50 3 2 17892039
50 3 3 17895914
50 3 4 17897719
50 3 5 17902604
50 3 6 17904639
50 4 0 17872061
50 4 1 17871622
50 4 2 17887541
50 4 3 17895770
50 4 4 18087144
50 4 5 18899842
50 4 6 18902768
