file_size iteration peer duration
50 0 0 17885585
50 0 1 17896593
50 0 2 17900958
50 0 3 17902979
50 0 4 17911212
50 0 5 17923059
50 0 6 17926115
50 1 0 17888218
50 1 1 17913914
50 1 2 17651468
50 1 3 17906713
50 1 4 17895698
50 1 5 17995903
50 1 6 18793268
50 2 0 17870239
50 2 1 17881623
50 2 2 17897026
50 2 3 17895224
50 2 4 17912120
50 2 5 17915088
50 2 6 18130041
50 3 0 16875274
50 3 1 16902310
50 3 2 16905424
50 3 3 16914789
50 3 4 16916304
50 3 5 17128599
50 3 6 17900025
50 4 0 16882735
50 4 1 17889183
50 4 2 17892644
50 4 3 17896041
50 4 4 17918587
50 4 5 17921156
50 4 6 17924697
