file_size iteration peer duration
50 0 0 16906410
50 0 1 16915720
50 0 2 16918787
50 0 3 17098773
50 0 4 17099736
50 0 5 17894026
50 0 6 17903266
50 1 0 17892064
50 1 1 17907342
50 1 2 17912984
50 1 3 17909892
50 1 4 17917627
50 1 5 17914170
50 1 6 17917487
50 2 0 16895560
50 2 1 16905283
50 2 2 16906642
50 2 3 16911201
50 2 4 16911618
50 2 5 17906180
50 2 6 17910810
50 3 0 17874942
50 3 1 17877841
50 3 2 17895242
50 3 3 17902582
50 3 4 17911619
50 3 5 17914351
50 3 6 17918172
50 4 0 16870797
50 4 1 16905919
50 4 2 17892365
50 4 3 17898725
50 4 4 17901171
50 4 5 17910215
50 4 6 17918282
