file_size iteration peer duration
50 0 0 17884843
50 0 1 17888312
50 0 2 17888650
50 0 3 17916291
50 0 4 18906550
50 0 5 18923548
50 0 6 18933507
50 1 0 16901044
50 1 1 16901592
50 1 2 17886857
50 1 3 17896374
50 1 4 17901388
50 1 5 17903395
50 1 6 17900330
50 2 0 17888644
50 2 1 17918637
50 2 2 17919101
50 2 3 17924432
50 2 4 17925470
50 2 5 17935317
50 2 6 17940831
50 3 0 16905874
50 3 1 16912369
50 3 2 17902093
50 3 3 17905399
50 3 4 17907792
50 3 5 17908249
50 3 6 17913309
50 4 0 17886540
50 4 1 17913841
50 4 2 17921149
50 4 3 18142350
50 4 4 18906848
50 4 5 18907824
50 4 6 18911769
