file_size iteration peer duration
50 0 0 17874997
50 0 1 17888342
50 0 2 17922543
50 0 3 18900479
50 0 4 18905757
50 0 5 18908114
50 0 6 18908946
50 1 0 17883449
50 1 1 17892949
50 1 2 17886883
50 1 3 17912862
50 1 4 17915579
50 1 5 17919275
50 1 6 18897475
50 2 0 17895644
50 2 1 17901707
50 2 2 17902843
50 2 3 17918457
50 2 4 17922236
50 2 5 17924912
50 2 6 17938037
50 3 0 17873824
50 3 1 17874614
50 3 2 17876655
50 3 3 17884116
50 3 4 17887733
50 3 5 17890406
50 3 6 17897328
50 4 0 16901934
50 4 1 17887818
50 4 2 17915915
50 4 3 17919948
50 4 4 17922565
50 4 5 17927706
50 4 6 17928827
