file_size iteration peer duration
50 0 0 5285100
50 0 1 5290111
50 0 2 5295310
50 0 3 5296966
50 0 4 5298901
50 0 5 5274437
50 0 6 5300232
50 0 7 5303857
50 0 8 5303875
50 0 9 5304599
50 0 10 5304854
50 0 11 5309521
50 0 12 5311597
50 0 13 5312985
50 0 14 5315397
50 1 0 4262309
50 1 1 4267545
50 1 2 5280002
50 1 3 5296378
50 1 4 5272637
50 1 5 5305011
50 1 6 5296685
50 1 7 5304126
50 1 8 5301502
50 1 9 5302211
50 1 10 5295571
50 1 11 5300604
50 1 12 5291640
50 1 13 5295018
50 1 14 5309950
50 2 0 4247468
50 2 1 4254876
50 2 2 4263160
50 2 3 4265250
50 2 4 4266676
50 2 5 4273082
50 2 6 5272557
50 2 7 5272539
50 2 8 5278771
50 2 9 5280331
50 2 10 5285084
50 2 11 5288330
50 2 12 5290098
50 2 13 5288626
50 2 14 5302388
50 3 0 3239562
50 3 1 3242172
50 3 2 3246141
50 3 3 3253518
50 3 4 3253314
50 3 5 3255831
50 3 6 3259931
50 3 7 3262365
50 3 8 3266008
50 3 9 4260727
50 3 10 4262294
50 3 11 4262537
50 3 12 4279590
50 3 13 4282822
50 3 14 4285423
50 4 0 5254169
50 4 1 5258634
50 4 2 5261864
50 4 3 5268487
50 4 4 5268864
50 4 5 5277748
50 4 6 5275715
50 4 7 5275654
50 4 8 5278542
50 4 9 5285120
50 4 10 5289202
50 4 11 5290028
50 4 12 5292255
50 4 13 5293592
50 4 14 5313312
