file_size iteration peer duration
50 0 0 6335214
50 0 1 6335136
50 0 2 6338857
50 0 3 6344348
50 0 4 6345135
50 0 5 6354359
50 0 6 6355669
50 0 7 7361027
50 0 8 7360343
50 0 9 7365221
50 0 10 7366232
50 0 11 7366456
50 0 12 7364844
50 0 13 7369312
50 0 14 7372764
50 1 0 5263533
50 1 1 5250894
50 1 2 5282771
50 1 3 5451211
50 1 4 6242856
50 1 5 6258479
50 1 6 6273773
50 1 7 6278891
50 1 8 6273034
50 1 9 6278343
50 1 10 6275243
50 1 11 6276388
50 1 12 6279572
50 1 13 6279041
50 1 14 6289233
50 2 0 7344540
50 2 1 7348122
50 2 2 7351708
50 2 3 7353087
50 2 4 7355047
50 2 5 7354627
50 2 6 7356251
50 2 7 7355557
50 2 8 7358182
50 2 9 7357224
50 2 10 7365729
50 2 11 7359133
50 2 12 7369421
50 2 13 7371668
50 2 14 7373609
50 3 0 6342592
50 3 1 6342112
50 3 2 6342729
50 3 3 6345642
50 3 4 6344304
50 3 5 6343998
50 3 6 6347816
50 3 7 6350063
50 3 8 6354671
50 3 9 6353532
50 3 10 6353658
50 3 11 6354622
50 3 12 6360833
50 3 13 6362049
50 3 14 6373022
50 4 0 4254738
50 4 1 4259347
50 4 2 4264827
50 4 3 4252612
50 4 4 4265911
50 4 5 4274107
50 4 6 4275643
50 4 7 4280748
50 4 8 4284331
50 4 9 4283558
50 4 10 4283957
50 4 11 4286870
50 4 12 4282571
50 4 13 4291810
50 4 14 4292357
