file_size iteration peer duration
50 0 0 5283310
50 0 1 5292510
50 0 2 5295639
50 0 3 5300509
50 0 4 5302680
50 0 5 5303927
50 0 6 5307563
50 0 7 5310069
50 0 8 5313565
50 0 9 6314296
50 0 10 6314108
50 0 11 6316098
50 0 12 6317431
50 0 13 6321766
50 0 14 6326866
50 1 0 7339268
50 1 1 7355665
50 1 2 7355350
50 1 3 7362737
50 1 4 7373529
50 1 5 8370621
50 1 6 8361438
50 1 7 8373218
50 1 8 8365736
50 1 9 8371435
50 1 10 8372280
50 1 11 8366303
50 1 12 8383335
50 1 13 8397158
50 1 14 8398002
50 2 0 4253755
50 2 1 4260164
50 2 2 4261524
50 2 3 4271788
50 2 4 4272042
50 2 5 4276414
50 2 6 4291354
50 2 7 4303311
50 2 8 4490089
50 2 9 5297536
50 2 10 5294460
50 2 11 5298663
50 2 12 5302715
50 2 13 5301581
50 2 14 5303277
50 3 0 4239823
50 3 1 4262803
50 3 2 4262671
50 3 3 4267344
50 3 4 4267966
50 3 5 4274097
50 3 6 4275380
50 3 7 4272533
50 3 8 4275556
50 3 9 4276673
50 3 10 4276707
50 3 11 4280648
50 3 12 4283086
50 3 13 4284852
50 3 14 4296518
50 4 0 7292252
50 4 1 7326482
50 4 2 7328686
50 4 3 7331282
50 4 4 7333533
50 4 5 7334947
50 4 6 7335855
50 4 7 7344277
50 4 8 7345010
50 4 9 7348909
50 4 10 7349132
50 4 11 7356131
50 4 12 7355573
50 4 13 7359724
50 4 14 7361754
