file_size iteration peer duration
50 0 0 3243064
50 0 1 3253027
50 0 2 3259191
50 0 3 3265051
50 0 4 3263556
50 0 5 3264035
50 0 6 3266662
50 0 7 3266458
50 0 8 3268971
50 0 9 3271375
50 0 10 3271971
50 0 11 3276652
50 0 12 3278621
50 0 13 3281959
50 0 14 3300598
50 1 0 5287270
50 1 1 5297304
50 1 2 5303512
50 1 3 5303307
50 1 4 5304303
50 1 5 5318003
50 1 6 6320519
50 1 7 6318523
50 1 8 6328797
50 1 9 6317877
50 1 10 6325643
50 1 11 6333742
50 1 12 6294734
50 1 13 6347831
50 1 14 6304269
50 2 0 5293556
50 2 1 5321841
50 2 2 5322355
50 2 3 5324839
50 2 4 5325857
50 2 5 5327728
50 2 6 5327928
50 2 7 5329640
50 2 8 5331483
50 2 9 5334789
50 2 10 5339214
50 2 11 5345492
50 2 12 5347856
50 2 13 6339990
50 2 14 6344445
50 3 0 5279826
50 3 1 5315646
50 3 2 5320283
50 3 3 5322144
50 3 4 5321238
50 3 5 5325980
50 3 6 5328720
50 3 7 5330413
50 3 8 5332105
50 3 9 5332517
50 3 10 5332766
50 3 11 5337333
50 3 12 5344290
50 3 13 5348462
50 3 14 6340834
50 4 0 4314032
50 4 1 4316772
50 4 2 4317874
50 4 3 4322678
50 4 4 4328261
50 4 5 4331998
50 4 6 4337839
50 4 7 4340828
50 4 8 4342573
50 4 9 4345472
50 4 10 4345150
50 4 11 4342441
50 4 12 4351481
50 4 13 4354270
50 4 14 4355522
