file_size iteration peer duration
50 0 0 16888820
50 0 1 16898785
50 0 2 17886585
50 0 3 17887153
50 0 4 17890252
50 0 5 17897078
50 0 6 17898887
50 1 0 17907012
50 1 1 17901325
50 1 2 17909846
50 1 3 17906148
50 1 4 17902514
50 1 5 18892519
50 1 6 18904699
50 2 0 17879345
50 2 1 17884952
50 2 2 17891653
50 2 3 17907256
50 2 4 17918604
50 2 5 18130761
50 2 6 18909769
50 3 0 16892975
50 3 1 16901458
50 3 2 16910257
50 3 3 17100191
50 3 4 17918593
50 3 5 17923047
50 3 6 17927577
50 4 0 16880599
50 4 1 17906941
50 4 2 17907418
50 4 3 17908243
50 4 4 17910209
50 4 5 17912283
50 4 6 17918250
